id	name	epithet	era	likesterr	uwnation	coastnation	cavenation	riverstart
85	Ys	Morgen Queens	2	0	1	0	0	0
86	Pelagia	Triton Kings	2	0	1	0	0	0
87	Oceania	Mermidons	2	0	1	0	0	0
88	Atlantis	Kings of the Deep	2	0	1	0	0	0
89	R'lyeh	Fallen Star	2	2048	1	0	0	0
95	Arcoscephale	Sibylline Guidance	3	0	0	0	0	0
96	Phlegra	Sleeping Giants	3	0	0	0	0	0
97	Pangaea	New Era	3	128	0	0	0	0
98	Pythium	Serpent Cult	3	0	0	0	0	0
99	Lemuria	Soul Gates	3	64	0	0	0	0
100	Man	Towers of Chelms	3	0	0	0	0	0
101	Ulm	Black Forest	3	0	0	0	0	0
102	Agartha	Ktonian Dead	3	0	0	0	2	0
103	Marignon	Conquerors of the Sea	3	0	0	1	0	0
104	Abysia	Blood of Humans	3	64	0	0	1	0
105	Ragha	Dual Kingdom	3	8388688	0	0	0	0
106	Caelum	Return of the Raptors	3	8388624	0	0	0	0
107	Gath	Last of the Giants	3	0	0	0	0	0
108	Patala	Reign of the Nagas	3	128	0	0	0	0
109	T'ien Ch'i	Barbarian Kings	3	0	0	0	0	0
110	Jomon	Human Daimyos	3	0	0	0	0	0
111	Mictlan	Blood and Rain	3	128	0	0	0	0
112	Xibalba	Return of the Zotz	3	128	0	0	1	1
113	C'tis	Desert Tombs	3	64	0	0	0	1
115	Midgård	Age of Men	3	0	0	0	0	0
116	Bogarus	Age of Heroes	3	0	0	0	0	0
117	Utgård	Well of Urd	3	0	0	0	0	0
118	Vaettiheim	Wolf Kin Jarldom	3	0	0	0	0	0
119	Feminie	Sage-Queens	3	0	0	0	0	0
120	Piconye	Legacy of the Prester King	3	0	0	0	0	0
121	Andramania	Dog Republic	3	0	0	0	0	0
123	Pyrène	Cambion Kings	3	0	0	0	0	0
124	Zemaitia	Sylvan Knights	3	128	0	0	0	0
125	Erytheia	Kingdom of Two Worlds	3	0	0	3	0	1
126	Atlantis	Frozen Sea	3	0	0	3	0	1
127	R'lyeh	Dreamlands	3	2048	1	0	0	0
